,trading_symbol,segment,credit_quantity,credit_price,debit_quantity,debit_price,carry_forward_credit_quantity,carry_forward_credit_price,carry_forward_debit_quantity,carry_forward_debit_price,exchange,symbol_isin,quantity,product,net_carry_forward_quantity,net_price,net_carry_forward_price,realised_pnl
0,GUJGASLTD,CASH,20,419.38,20,420.68,0,0.0,0,0.0,NSE,INE844O01030,0,MIS,0,420.68,0.0,26.05
1,RMDRIP,CASH,0,0.0,25,104.05,0,0.0,0,0.0,NSE,INE219Y01026,-25,CNC,0,104.05,0.0,0.0
2,CSBBANK,CASH,3,418.3,0,0.0,0,0.0,0,0.0,BSE,INE679A01013,3,MIS,0,418.3,0.0,10.39
3,CSBBANK,CASH,2,427.6,5,424.1,0,0.0,0,0.0,NSE,INE679A01013,-3,MIS,0,424.1,0.0,10.39
4,CSBBANK,CASH,0,0.0,5,428.0,0,0.0,0,0.0,NSE,INE679A01013,-5,CNC,0,428.0,0.0,0.0
5,TATASTEEL,CASH,1,202.46,1,202.46,0,0.0,0,0.0,NSE,INE081A01020,0,MIS,0,202.46,0.0,0.0
6,BSOFT,CASH,8,420.27,0,0.0,0,0.0,0,0.0,BSE,INE836A01035,8,MIS,0,420.27,0.0,0.0
7,BSOFT,CASH,8,409.78,16,409.18,0,0.0,0,0.0,NSE,INE836A01035,-8,MIS,0,409.18,0.0,0.0
8,BSOFT,CASH,18,420.27,0,0.0,0,0.0,0,0.0,BSE,INE836A01035,18,CNC,0,420.27,0.0,0.0
9,BSOFT,CASH,5,408.97,0,0.0,0,0.0,0,0.0,NSE,INE836A01035,5,CNC,0,408.97,0.0,0.0
10,DBOL,CASH,0,0.0,25,101.8,0,0.0,0,0.0,NSE,INE0I3401014,-25,CNC,0,101.8,0.0,0.0
11,ITI,CASH,6,288.1,0,0.0,0,0.0,0,0.0,NSE,INE248A01017,6,CNC,0,288.1,0.0,0.0
12,PFOCUS,CASH,0,0.0,25,220.6,0,0.0,0,0.0,BSE,INE367G01038,-25,CNC,0,220.6,0.0,0.0
13,LTF,CASH,0,0.0,10,291.0,0,0.0,0,0.0,NSE,INE498L01015,-10,CNC,0,291.0,0.0,0.0
